@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_R_STD NUMERIC 
@ATTRIBUTE X_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_R_STD NUMERIC 
@ATTRIBUTE Y_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_R_STD NUMERIC 
@ATTRIBUTE Z_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_NO_G_R_STD NUMERIC 
@ATTRIBUTE |V|_NO_G_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_NO_G_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_R_Y_NO_G_R_Z_NO_G_R_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Y_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_Z_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_R_|V|_NO_G_R NUMERIC 
@ATTRIBUTE X_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE X_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_AVERAGE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_VARIANCE NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_STD NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GYROSCOPE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_GYROSCOPE_Y_GYROSCOPE_Z_GYROSCOPE_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Y_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_X_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE CORRELATION_Y_GYROSCOPE_Z_GYROSCOPE NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.3211,2.2001,1.4833,7.395,-3.7006,-2.3425,12.2368,3.4981,11.4506,-18.0959,0.6815,5.2805,2.2979,10.2792,-0.2626,3.3948,14.2476,3.7746,13.1217,0.0094,0.1371,-0.4711,-0.0946,-3.4371,-0.69,0.2008,0.424,0.6455,0.393,1.5223,0.9267,0.6088,0.1798,0.4167,0.1544,2.3174,0.8589,0.3706,0.5365,2.7235,-46.5561,5.0762,-86.774,-17.0944,2.6236,0.1932,0.1188,0.0737,0.0453,0.6146,0.6458,0.7194,0.5636,1.114,0.8726,0.7834,0.0164,4.9084,0.5647,-0.7497,-0.6151,-0.6129,-0.9666,0.7087,0.0005,0.6019,0.7758,3.7742,-1.3497,-0.4261,1.0576,1.0284,5.681,-1.2208,0.9719,2.4755,1.5734,5.423,-0.045,-0.0011,0.0005,-0.4384,0.7544,0.4931,0.6536,0.5692,0.2432,0.4272,0.6942,9.2877,13.379,0.6279,0.3095,0.4929,0.6644,0.696,1.0476,0.0071,2.1446,-0.6002,-0.645,0.0964,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.6,6.5366,2.5567,12.4674,-0.2301,-1.3559,16.5634,4.0698,21.9375,-1.557,0.8596,17.3476,4.165,21.9131,-0.6665,4.7618,22.9107,4.7865,17.4133,0.0101,-1.1801,1.8612,0.336,-1.5772,-0.2847,0.1805,0.6282,0.6138,0.5341,0.9771,0.8503,0.8702,0.3946,0.3768,0.2853,0.9548,0.723,0.7572,0.1746,0.2661,-13.1526,1.5242,-75.3296,-49.4212,1.1813,0.7708,0.5762,0.6525,0.4877,0.7475,0.5683,0.5689,0.716,1.0011,1.2598,1.2584,0.008,7.3706,-0.4506,-0.0742,0.5799,-0.4903,-0.7187,0.5025,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.1868,0.4415,0.6645,3.5063,-2.2469,0.3973,1.4593,1.208,5.8339,-0.554,0.6607,5.3744,2.3183,8.6925,-0.5705,2.1825,3.1413,1.7724,5.6871,0.007,-0.4703,-0.2828,-0.0856,0.6014,0.1821,0.3027,0.55,0.2866,0.3749,0.5211,0.6816,1.308,0.3025,0.0821,0.1405,0.2715,0.4646,1.7109,1.1666,0.7684,-60.4864,0.6587,-51.8476,-78.7127,0.2877,0.1951,0.1886,0.6782,0.6555,0.9664,0.601,0.4034,0.6165,0.6711,1.0258,1.5285,0.0061,3.0664,0.0646,-0.156,-0.2654,0.1408,0.3587,0.6686,0.4262,0.4469,0.6685,1.9719,-0.1055,-0.9554,2.0704,1.4389,5.0238,-79.6275,0.6945,1.215,1.1023,2.9175,-0.0315,-0.4461,0.6137,-1.3757,0.4646,0.6064,1.3054,0.2158,0.3678,1.704,0.0379,2.1096,55.6301,28.6275,0.6307,0.022,0.3925,0.6759,1.7219,0.0096,2.1614,-0.7627,0.9702,-0.6522,125000,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0299,0.014,0.1185,0.555,-0.6353,0.0451,0.0208,0.1442,0.7578,-0.819,-0.0008,0.0133,0.1155,0.6163,-0.9089,0.2058,0.0088,0.0936,0.4437,0.0893,0.6639,-38.1923,0.1453,-57.5232,0.2189,-0.0038,0.8217,1.0258,1.2659,1.2485,1.5406,1.234,0.6752,1.0523,1.6025,1.5587,2.3735,1.5228,0.6319,0.7347,-4.9581,1.1628,-7.8464,-6.7481,0.8147,1.0512,0.6966,1.2903,0.855,0.6627,0.7324,0.9005,1.2507,1.2296,1.7078,1.3889,0.0004,0.3164,0.4431,-0.0742,0.3146,0.7369,0.1872,0.0546,0.0466,0.0009,0.0306,0.145,-0.2143,0.0341,0.0012,0.0347,0.1716,-0.3644,0.0246,0.0006,0.0248,0.1087,-0.4571,1.3683,1.8924,1.383,0.8808,1.23,1.3964,0.7759,1.5128,1.9498,0.5581,0.75,1.3438,0.9492,1.6,1.6857,0.8447,1.3333,1.5784,0.0004,0.1167,-0.6876,0.5876,-0.4525,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0012,0.0097,0.0983,0.513,-1.358,0.0149,0.0197,0.1403,0.6875,-1.0083,0.0049,0.0134,0.1158,0.5727,-0.8827,0.1815,0.0101,0.1003,0.4402,0.0363,-0.0823,-0.2511,-0.0067,3.0521,0.0818,0.0268,0.7006,0.849,0.9801,1.2119,1.399,1.1544,0.4908,0.7208,0.9606,1.4686,1.9572,1.3327,0.8559,1.1003,-17.7942,1.2856,-20.7901,-16.1716,0.6355,0.7152,0.4763,1.1254,0.7495,0.6659,0.7462,0.8958,1.1654,1.2005,1.5619,1.301,0.0001,0.2839,0.3583,0.1069,-0.0303,0.936,-0.0504,-0.0443,0.0248,0.0001,0.0076,0.0309,0.2162,0.0398,0.0001,0.0087,0.0501,0.2656,0.011,0.0001,0.0078,0.0352,-0.1379,0.6227,2.2491,3.6117,0.8698,0.9774,1.1238,0.7565,0.9553,1.2628,0.4706,-1.9998,-4.2497,0.5781,1.2759,2.2069,0.617,0.8788,1.4242,0.0003,0.0759,-0.2381,-0.0139,0.0866,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
1.222,5.3325,2.3092,11.543,-0.9955,-0.8684,9.8165,3.1331,18.238,-1.682,0.8855,10.8508,3.2941,17.0334,-0.9812,4.1664,11.6723,3.4165,12.6616,0.0111,-1.4072,1.38,0.2933,-0.9807,-0.2084,0.2125,0.737,0.701,0.6759,0.9511,0.9171,0.9642,0.5432,0.4914,0.4569,0.9047,0.841,0.9296,0.5034,0.6826,-40.4571,1.3558,-80.3599,-59.2698,0.8507,0.6728,0.4518,0.791,0.5311,0.6715,0.6329,0.6777,0.9117,1.0707,1.4404,1.3453,0.0059,6.1984,-0.5836,-0.2699,0.3126,-0.0137,-0.49,0.4114,-0.2632,0.8217,0.9065,5.4517,-3.5182,-0.8002,2.802,1.6739,7.605,-0.9739,0.8181,1.5795,1.2568,4.4733,-0.3721,0.3289,-0.3218,-0.9782,0.5415,0.7213,1.3319,0.2933,0.5202,1.774,1.1314,3.4996,3.0932,0.3132,0.3701,1.1818,0.7169,1.2187,1.7001,0.004,2.9286,-0.5693,0.4702,-0.313,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.0215,0.0124,0.1115,0.5701,-0.7332,-0.013,0.0642,0.2533,1.2468,-1.1486,0.0049,0.0161,0.1267,0.6204,-0.705,0.2764,0.0169,0.13,0.6211,0.0894,-1.6475,4.3878,0.0777,-2.6633,-0.0472,0.0177,0.4402,0.88,0.8577,1.9993,1.9485,0.9746,0.1938,0.7745,0.7357,3.997,3.7967,0.9499,0.3618,0.94,-3.9532,2.5978,-10.9253,-4.2056,0.5669,0.9039,0.4822,1.5946,0.8507,0.5335,0.4573,0.9188,0.9179,2.0095,2.0074,0.999,0.0002,0.3975,-0.0001,0.0497,0.1056,0.2602,-0.0868,0.0317,-0.021,0.0001,0.0089,0.0458,?,0.0236,0.0003,0.0164,0.0778,-0.1231,-0.0004,0.0001,0.0118,0.048,-1.0455,-0.8915,46.9061,-52.6152,0.5456,0.7591,1.3912,0.2977,0.5762,1.9355,5.375,1.8696,0.3478,0,0,2.9546,0.589,0.9556,1.6222,0.0002,0.0548,-0.2904,-0.0474,0.7433,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
0.6834,0.474,0.6884,2.6704,-0.1545,0.0914,2.6549,1.6294,10.7032,-0.2861,0.2642,2.085,1.4439,6.226,-0.5634,1.8223,2.4381,1.5615,8.568,0.0046,7.4757,2.5864,0.375,0.346,0.0502,0.145,0.4225,0.4768,0.4409,1.1284,1.0435,0.9247,0.1785,0.2273,0.1944,1.2733,1.0889,0.8552,0.1501,0.1593,-9.0488,1.0612,-60.2943,-56.8179,0.2779,0.5808,0.2687,2.0897,0.9669,0.4627,0.2495,0.4289,0.3117,1.7191,1.2492,0.7267,0.0049,2.7406,-0.1822,0.1381,0.5409,-0.0237,0.5499,0.4023,0.1739,0.6889,0.83,3.9682,-0.2506,-0.5298,0.5547,0.7448,2.4078,-14.3674,0.2026,0.165,0.4062,2.0752,-0.5247,-0.3282,0.8583,-2.6151,1.1144,2.0433,1.8335,1.242,4.175,3.3616,0.3532,1.1134,3.1522,20.2517,2.3312,0.1151,1.6481,1.9122,1.1602,0.0039,1.2765,-0.0943,-0.3775,-0.4719,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-0.0589,1.5577,1.2481,6.6002,-0.9749,-1.6655,7.9056,2.8117,17.8988,-1.7035,0.6349,6.6396,2.5767,12.4629,-0.6685,3.2027,9.0258,3.0043,12.4142,0.0052,0.0354,-0.0928,-0.0184,-2.6234,-0.52,0.1982,0.4439,0.4844,0.4154,1.0912,0.9359,0.8577,0.197,0.2346,0.1726,1.1907,0.8759,0.7356,0.2889,0.6525,-49.8216,2.2587,-172.4575,-76.3532,0.5048,0.4474,0.2678,0.8863,0.5305,0.5985,0.3688,0.5296,0.5317,1.4362,1.4418,1.0039,0.0118,4.8902,-0.0295,0.1717,0.2402,-0.6025,-0.8198,0.5988,-0.2469,1.189,1.0904,5.7545,-2.0572,-0.8803,1.8486,1.3596,6.3386,-2.5231,0.1109,0.8201,0.9056,3.9053,-0.7202,0.2805,-2.2265,-7.938,0.802,1.2041,1.5014,0.6432,1.4499,2.2542,0.853,2.3683,2.7764,1.0462,0.8291,0.7925,0.9079,1.4735,1.6231,0.0061,2.3154,0.2544,-0.0121,-0.5324,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
-1.2345,14.33,3.7855,16.021,-1.1205,-1.1765,8.4853,2.913,14.173,-1.6932,0.8038,19.0351,4.3629,19.0283,-0.3888,5.425,15.9738,3.9967,15.9792,0.0117,1.0493,-1.5358,-0.2276,-1.4637,-0.2169,0.1482,1.2995,0.8677,0.9472,0.6677,0.7288,1.0916,1.6888,0.7528,0.8971,0.4458,0.5312,1.1916,0.9501,1.5892,-44.9209,1.6727,-47.28,-28.2665,1.4356,0.5514,0.4673,0.3841,0.3255,0.8474,1.1304,0.842,1.0026,0.7448,0.887,1.1908,0.0065,8.2494,0.4108,-0.3565,-0.4952,-0.4181,-0.4482,0.6225,0.5456,1.046,1.0227,4.7563,-0.4258,-0.6383,2.4,1.5492,7.4437,-1.8138,0.7711,1.9369,1.3917,5.002,-0.2291,-0.8548,0.7075,-0.8277,0.6602,0.7349,1.1131,0.4358,0.54,1.2391,0.296,1.5234,5.1461,1.261,0.8197,0.65,0.639,0.9509,1.4881,0.0039,2.4927,-0.5232,0.8505,-0.5276,1100,0,0,0,1,TASCA_DESTRA_DAVANTI_PANTALONI
